Site,Date,Comment
Jyndevad,29-07-2014,Irrigation - 25 mm ha-1. Started on eastside 29/07. Ended on westside 30/07
Jyndevad,30-07-2014,Ranman (cyazofamid) - fungi - 0.2 L ha-1
Jyndevad,30-07-2014,BBCH stage 85
Jyndevad,04-08-2014,BBCH stage 86
Jyndevad,04-08-2014,Irrigation - 25 mm ha-1. Started on eastside 04/08. Ended on westside 05/08
Jyndevad,07-08-2014,BBCH stage 86
Jyndevad,07-08-2014,Ranman (cyazofamid) - fungi - 0.2 L ha-1
Jyndevad,11-08-2014,BBCH stage 93
Jyndevad,12-08-2014,Biomass tubers 1,881.1 g m-2 - 100% DM. Top 211.5 g m-2 row - 100% DM
Jyndevad,14-08-2014,BBCH stage 93
Jyndevad,14-08-2014,Dithane NT (mancozeb) - fungi - 2.0 L ha-1
Jyndevad,01-09-2014,Rotor harrowed - 6 cm depth
Jyndevad,16-09-2014,Harrowed diagonally - depth 6 cm.
Jyndevad,18-09-2014,Winterwheat drilled directly in the potato stuble
Jyndevad,26-09-2014,BBCH 09 – emergence
Jyndevad,29-09-2014,BBCH 10
Jyndevad,08-10-2014,BBCH 13
Jyndevad,22-10-2014,BBCH 14
Jyndevad,22-10-2014,Lexus 50 WG (flupyrsulfuron) - weeds - 10 g ha-1 (i.e. 4.6 g a.i. ha-1)
Jyndevad,24-10-2014,BBCH 14
Jyndevad,27-10-2014,BBCH 15
Jyndevad,11-11-2014,BBCH 20
Jyndevad,11-11-2014,Orius 200 EW (tebuconazole) - fungi – 1.25 L ha-1 (i.e. 250 g a.i. ha-1)
Jyndevad,17-11-2014,BBCH 20
Jyndevad,27-11-2014,BBCH 21
Jyndevad,09-03-2015,BBCH 22
Jyndevad,17-03-2015,BBCH 22
Jyndevad,18-03-2015,Fertilization 120.0 N, 15 P, 56 K, kg ha-1
Jyndevad,20-03-2015,BBCH 22
Jyndevad,20-03-2015,Lexus 50 WG (flupyrsulfuron) - weeds - 10 g ha-1 (i.e. 4.6 g a.i. ha-1)
Jyndevad,07-04-2015,BBCH 23
